ClipName,Frame,RootVel.x,RootVel.z,LFootVel.x,LFootVel.y,LFootVel.z,RFootVel.x,RFootVel.y,RFootVel.z,RootPos.x,RootPos.z,Forward.x,Forward.z
WalkFWD,87,0.0001953184,4.798742,-0.04346691,0.1777406,-0.1025046,0.05250929,0.02418161,0.5719946,0.0001953184,4.798742,0.01971817,0.995154
WalkFWD,88,0.002481981,4.85058,-0.04542645,0.210867,-0.08628777,0.0497008,0.01851211,0.521474,0.002481981,4.85058,0.004732212,0.994626
WalkFWD,89,0.003965046,4.906457,-0.04859686,0.218599,-0.0004373099,0.04821777,0.007108202,0.4655972,0.003965046,4.906457,-0.0145477,0.9945562
Run,0,0.05514777,-5.471736,-0.02968075,0.06996261,0.4038435,0.03356588,0.1724386,-0.007839014,0.05514777,-5.471736,-0.05362689,0.8465948
Run,1,0.05274518,-5.399577,-0.02625044,0.07774336,0.3314877,0.04238072,0.162936,0.0518667,0.05274518,-5.399577,-0.07964788,0.8351328
Run,2,0.04805614,-5.278261,-0.02405416,0.08500816,0.1846352,0.07971606,0.1512688,0.181985,0.04805614,-5.278261,-0.1137352,0.8156956
Run,3,0.04478969,-5.128921,-0.021958,0.08701921,0.03631266,0.1248363,0.1612425,0.3226148,0.04478969,-5.128921,-0.1175984,0.8170351
Run,4,0.042968,-4.973772,-0.02554355,0.1232784,-0.1062655,0.142306,0.1886327,0.4233612,0.042968,-4.973772,-0.1045114,0.8317435
Run,5,0.04253073,-4.81358,-0.03509656,0.1881787,-0.2403595,0.1125204,0.2000359,0.494799,0.04253073,-4.81358,-0.08190241,0.8514928
Run,6,0.0433435,-4.649113,-0.04755092,0.2718726,-0.3244508,0.100064,0.1582968,0.6116421,0.0433435,-4.649113,-0.06259426,0.8594386
Run,7,0.04206602,-4.481135,-0.04955475,0.3893847,-0.3442416,0.06420185,0.1225266,0.6490377,0.04206602,-4.481135,-0.05966838,0.8570746
Run,8,0.04110331,-4.310415,-0.05022145,0.4929518,-0.2903992,0.03791114,0.09365239,0.5758468,0.04110331,-4.310415,-0.04380682,0.860655
Run,9,0.04034697,-4.137718,-0.05826819,0.5427895,-0.1940004,0.01129048,0.08617713,0.4331254,0.04034697,-4.137718,-0.02431961,0.8681205
Run,10,0.03955548,-3.963811,-0.0737854,0.5255774,-0.0816984,0.008613415,0.09246197,0.2608766,0.03955548,-3.963811,-0.001445365,0.8613635
Run,11,0.03843192,-3.789461,-0.08363475,0.4457881,0.03960743,0.009729696,0.0849174,0.09427641,0.03843192,-3.789461,-0.02227573,0.8631053
Run,12,0.03642925,-3.615433,-0.08250777,0.3234844,0.1771683,0.01467793,0.1092534,-0.06517135,0.03642925,-3.615433,-0.05900986,0.869064
Run,13,0.03328986,-3.442494,-0.07673233,0.2067091,0.347493,0.02313459,0.1686203,-0.212719,0.03328986,-3.442494,-0.09079235,0.8750864
Run,14,0.03020136,-3.269568,-0.06856884,0.1338087,0.5285217,0.03512718,0.2648905,-0.3245171,0.03020136,-3.269568,-0.1146207,0.8860855
Run,15,0.02809649,-3.095249,-0.05701808,0.1016721,0.6539813,0.0491126,0.418444,-0.3855087,0.02809649,-3.095249,-0.1262143,0.8896005
Run,16,0.02637604,-2.919809,-0.04924458,0.08682387,0.6701895,0.05351667,0.5763232,-0.3539137,0.02637604,-2.919809,-0.1307139,0.8879424
Run,17,0.02429302,-2.74352,-0.04122339,0.06596673,0.5579621,0.05183325,0.669335,-0.2568774,0.02429302,-2.74352,-0.1336973,0.8838383
Run,18,0.02140421,-2.566656,-0.03685605,0.07300344,0.381863,0.05579505,0.6837615,-0.1406733,0.02140421,-2.566656,-0.129416,0.8739879
Run,19,0.01949821,-2.389489,-0.03484395,0.07703622,0.2069978,0.07033791,0.6187842,-0.0394295,0.01949821,-2.389489,-0.112016,0.8644104
Run,20,0.02014149,-2.212291,-0.03792617,0.07527707,0.03401768,0.07710951,0.4881457,0.06561133,0.02014149,-2.212291,-0.07837258,0.8711171
Run,21,0.02196174,-2.035335,-0.03914491,0.1223453,-0.1263194,0.06654986,0.3206269,0.2156322,0.02196174,-2.035335,-0.04113708,0.8831388
Run,22,0.02387071,-1.858893,-0.0402447,0.1913447,-0.2587788,0.04829918,0.1806342,0.4151973,0.02387071,-1.858893,-0.01883854,0.8926482
Run,23,0.02587475,-1.680293,-0.04578836,0.3248227,-0.3485245,0.03639315,0.1080043,0.6053987,0.02587475,-1.680293,-0.02151695,0.8988113
Run,24,0.02780811,-1.497847,-0.05097871,0.4950045,-0.352877,0.03267717,0.0832834,0.6828297,0.02780811,-1.497847,-0.02394497,0.9009244
Run,25,0.02953703,-1.313302,-0.05866354,0.6054825,-0.2753491,0.02686086,0.06272321,0.6052247,0.02953703,-1.313302,-0.01416986,0.8999628
Run,26,0.03312001,-1.128407,-0.06587876,0.6316328,-0.1653461,0.02098752,0.0595989,0.4269532,0.03312001,-1.128407,-0.002136232,0.8956065
Run,27,0.03580295,-0.9449091,-0.07691669,0.5909051,-0.05318036,0.0191063,0.06618124,0.2420526,0.03580295,-0.9449091,-0.0006866194,0.8881593
Run,28,0.03651823,-0.7645574,-0.07261849,0.486306,0.05711356,0.02031359,0.0706367,0.06555865,0.03651823,-0.7645574,-0.02095894,0.8940271
Run,29,0.03578617,-0.5845816,-0.05656739,0.3234,0.1985249,0.02082152,0.1007209,-0.1021787,0.03578617,-0.5845816,-0.05161661,0.9058469
Run,30,0.03403918,-0.4013804,-0.04032857,0.2064593,0.3821645,0.02534938,0.1767557,-0.245451,0.03403918,-0.4013804,-0.08173567,0.915514
Run,31,0.03434065,-0.2154573,-0.0329256,0.1269475,0.5782833,0.03804966,0.3257671,-0.3523094,0.03434065,-0.2154573,-0.1025809,0.9200839
Run,32,0.03423641,-0.02731389,-0.03265327,0.09673081,0.7048494,0.05227097,0.5079029,-0.3784629,0.03423641,-0.02731389,-0.1041515,0.9197572
Run,33,0.03351373,0.1630776,-0.02705894,0.07520441,0.6883632,0.05987358,0.6442309,-0.3083709,0.03351373,0.1630776,-0.1030724,0.9179934
Run,34,0.03161273,0.3504395,-0.02087119,0.05941901,0.5279744,0.05754309,0.694512,-0.1968344,0.03161273,0.3504395,-0.1081271,0.9096971
Run,35,0.02966343,0.5348279,-0.01913644,0.07146794,0.3419858,0.06464723,0.6641032,-0.08058583,0.02966343,0.5348279,-0.1086766,0.9002461
Run,36,0.029223,0.7170604,-0.01795933,0.07206728,0.1592291,0.07491621,0.5546169,0.01579721,0.029223,0.7170604,-0.08783253,0.8991584
Run,37,0.02994584,0.8979521,-0.02084077,0.08298527,-0.01880443,0.07448941,0.387004,0.1462099,0.02994584,0.8979521,-0.04786966,0.9092746
Run,38,0.03117454,1.080934,-0.02539423,0.1237135,-0.1645014,0.06218191,0.2270633,0.3443953,0.03117454,1.080934,-0.01164156,0.9222826
Run,39,0.03140974,1.268019,-0.02998553,0.2161629,-0.2772232,0.04424272,0.1208797,0.5655645,0.03140974,1.268019,0.002519418,0.9350149
Run,40,0.03148367,1.457902,-0.03138918,0.3628649,-0.3428633,0.0339162,0.09789786,0.7355508,0.03148367,1.457902,-0.002050033,0.9417443
Run,41,0.03220904,1.649272,-0.04026677,0.5118185,-0.3196031,0.0272172,0.09206051,0.7665722,0.03220904,1.649272,-0.004838183,0.9450238
Run,42,0.03321942,1.840825,-0.05104334,0.5946851,-0.2314375,0.01747337,0.05620752,0.6632844,0.03321942,1.840825,-0.002118054,0.9466027
Run,43,0.03560648,2.031252,-0.06259117,0.6002329,-0.1235552,0.0127631,0.04463537,0.4784659,0.03560648,2.031252,-0.000252502,0.9420981
Run,44,0.03828983,2.219246,-0.07746141,0.5489318,-0.01533876,0.0100255,0.04731629,0.2878443,0.03828983,2.219246,-0.000876144,0.938247
Run,45,0.03971004,2.403499,-0.08073083,0.4396144,0.1003428,0.009840284,0.05187174,0.1061844,0.03971004,2.403499,-0.005703829,0.9424299
Run,46,0.0390153,2.586872,-0.07107864,0.3010685,0.2505198,0.01348976,0.08016788,-0.0679845,0.0390153,2.586872,-0.02625369,0.9510439
Run,47,0.03899855,2.772723,-0.05880073,0.1809935,0.4371384,0.01574871,0.1556129,-0.204752,0.03899855,2.772723,-0.0551949,0.9594858
Run,48,0.03990176,2.960486,-0.05171368,0.1106768,0.6265384,0.01991244,0.2791489,-0.3016486,0.03990176,2.960486,-0.07396294,0.9623967
Run,49,0.04000212,3.149601,-0.04317638,0.09227587,0.7500517,0.03190342,0.4374784,-0.3318356,0.04000212,3.149601,-0.07850001,0.9623095
Run,50,0.03973172,3.339505,-0.03259403,0.07833911,0.7426586,0.04426984,0.5699834,-0.2782879,0.03973172,3.339505,-0.08063996,0.9603389
Run,51,0.0394787,3.529636,-0.02751827,0.04545422,0.6257804,0.04107218,0.631536,-0.1780489,0.0394787,3.529636,-0.08385071,0.9573728
Run,52,0.03958903,3.71943,-0.02330972,0.04033571,0.4407198,0.0480538,0.6165259,-0.06701059,0.03958903,3.71943,-0.08583429,0.9471686
Run,53,0.03823483,3.908325,-0.02306548,0.04817924,0.2555929,0.05348836,0.5331329,0.03562243,0.03823483,3.908325,-0.07861362,0.9391236
Run,54,0.04020702,4.095758,-0.02644362,0.04843198,0.07649631,0.06158367,0.394159,0.1647162,0.04020702,4.095758,-0.0539857,0.9416751
